optID,contMultNum,contractStatus,contractType,currencyCD,deliDate,delistDate,exchangeCD,exerDate,expDate,expMonth,expYear,lastTradeDate,listDate,secID,secShortName,strikePrice,tickerSymbol,varExchangeCD,varSecID,varShortName,varTicker,varType
10000072,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-03-17,510050P1509M02600.XSHG,50ETF沽9月2600,2.6,510050P1509M02600,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000073,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-18,510050C1503M02650.XSHG,50ETF购3月2650,2.65,510050C1503M02650,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000074,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-18,510050P1503M02650.XSHG,50ETF沽3月2650,2.65,510050P1503M02650,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000075,10000,DE,CO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-03-18,510050C1504M02650.XSHG,50ETF购4月2650,2.65,510050C1504M02650,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000076,10000,DE,PO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-03-18,510050P1504M02650.XSHG,50ETF沽4月2650,2.65,510050P1504M02650,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000077,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-03-18,510050C1506M02650.XSHG,50ETF购6月2650,2.65,510050C1506M02650,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000078,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-03-18,510050P1506M02650.XSHG,50ETF沽6月2650,2.65,510050P1506M02650,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000079,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-03-18,510050C1509M02650.XSHG,50ETF购9月2650,2.65,510050C1509M02650,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000080,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-03-18,510050P1509M02650.XSHG,50ETF沽9月2650,2.65,510050P1509M02650,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000081,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-19,510050C1503M02700.XSHG,50ETF购3月2700,2.7,510050C1503M02700,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000082,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-19,510050P1503M02700.XSHG,50ETF沽3月2700,2.7,510050P1503M02700,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000083,10000,DE,CO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-03-19,510050C1504M02700.XSHG,50ETF购4月2700,2.7,510050C1504M02700,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000084,10000,DE,PO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-03-19,510050P1504M02700.XSHG,50ETF沽4月2700,2.7,510050P1504M02700,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000085,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-03-19,510050C1506M02700.XSHG,50ETF购6月2700,2.7,510050C1506M02700,XSHG,510050.XSHG,华夏上证50ETF,510050,F
